Section,,Mass,Depth,Width,Thickness,,Root,Depth,Ratios for,,Dimensions for,,,Surface,,,,,,,,,,,,,,
Designation,,per,of,of,,,Radius,between,Local Buckling,,Detailing,,,Area,,Second Moment,,Radius of,,Elastic,,Plastic,,Buckling,Torsional,Warping,Torsional,Area
,,Metre,Section,Section,Web,Flange,,Fillets,Web,Flange,End,Notch,,Per,Per,of Area,,Gyration,,Modulus,,Modulus,,Parameter,Index,Constant,Constant,of
,,,,,,,,,,,Clearance,,,Metre,Tonne,y-y,z-z,y-y,z-z,y-y,z-z,y-y,z-z,,,,,Section
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,h,b,tw,tf,r,d,cw / tw,cf / tf,C,N,n,,,,,,,,,,,U,X,Iw,I T,A
,,kg/m,mm,mm,mm,mm,mm,mm,,,mm,mm,mm,m2,m2,cm4,cm4,cm,cm,cm3,cm3,cm3,cm3,,,dm6,cm4,cm2
457x191x106,+ ,105.8,469.2,194,12.6,20.6,10.2,407.6,32.3,3.91,8,102,32,1.67,15.8,48900,2510,19,4.32,2080,259,2390,405,0.876,24.4,1.27,146,135
457x191x98,,98.3,467.2,192.8,11.4,19.6,10.2,407.6,35.8,4.11,8,102,30,1.67,17,45700,2350,19.1,4.33,1960,243,2230,379,0.881,25.8,1.18,121,125
457x191x89,,89.3,463.4,191.9,10.5,17.7,10.2,407.6,38.8,4.55,7,102,28,1.66,18.6,41000,2090,19,4.29,1770,218,2010,338,0.878,28.3,1.04,90.7,114
457x191x82,,82,460,191.3,9.9,16,10.2,407.6,41.2,5.03,7,102,28,1.65,20.1,37100,1870,18.8,4.23,1610,196,1830,304,0.879,30.8,0.922,69.2,104
457x191x74,,74.3,457,190.4,9,14.5,10.2,407.6,45.3,5.55,7,102,26,1.64,22.1,33300,1670,18.8,4.2,1460,176,1650,272,0.877,33.8,0.818,51.8,94.6
457x191x67,,67.1,453.4,189.9,8.5,12.7,10.2,407.6,48,6.34,6,102,24,1.63,24.3,29400,1450,18.5,4.12,1300,153,1470,237,0.873,37.8,0.705,37.1,85.5
457x152x82,,82.1,465.8,155.3,10.5,18.9,10.2,407.6,38.8,3.29,7,84,30,1.51,18.4,36600,1180,18.7,3.37,1570,153,1810,240,0.872,27.4,0.591,89.2,105
457x152x74,,74.2,462,154.4,9.6,17,10.2,407.6,42.5,3.66,7,84,28,1.5,20.2,32700,1050,18.6,3.33,1410,136,1630,213,0.872,30.1,0.518,65.9,94.5
457x152x67,,67.2,458,153.8,9,15,10.2,407.6,45.3,4.15,7,84,26,1.5,22.3,28900,913,18.4,3.27,1260,119,1450,187,0.868,33.6,0.448,47.7,85.6
457x152x60,,59.8,454.6,152.9,8.1,13.3,10.2,407.6,50.3,4.68,6,84,24,1.49,24.9,25500,795,18.3,3.23,1120,104,1290,163,0.868,37.5,0.387,33.8,76.2
457x152x52,,52.3,449.8,152.4,7.6,10.9,10.2,407.6,53.6,5.71,6,84,22,1.48,28.3,21400,645,17.9,3.11,950,84.6,1100,133,0.859,43.8,0.311,21.4,66.6
